"Experiment","Listener","lambda","depth","nullcost","Pearson","Pearson.p","Spearman","Spearman.p","MSE"
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",1.2,3,0,0.917145139237338,6.42586463357564e-37,0.750132410824878,1.75391852822773e-17,0.0096512683395726
"embeddedscalars-experiment-results-likert.csv","Unconstrained",1.2,3,0,0.877462511712981,8.0311348461918e-30,0.795494542934185,7.58902594239923e-21,0.0102637458960063
"embeddedscalars-experiment-results-likert.csv","NeoGricean",1.2,3,1,0.871326326066615,6.01025158360256e-29,0.781591905387335,9.90487023456834e-20,0.00951708990241668
"embeddedscalars-experiment-results-likert.csv","Literal",1.2,3,1,0.935047773665439,2.11598422341985e-41,0.756008363330279,7.08041217013823e-18,0.00785327153227817
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",1.2,3,1,0.918185466308739,3.77022449511122e-37,0.750132410824878,1.75391852822773e-17,0.00954693862163135
"embeddedscalars-experiment-results-likert.csv","Unconstrained",1.2,3,1,0.880682558190273,2.67371519623614e-30,0.795735392055915,7.24609456883115e-21,0.0100057942914336
"embeddedscalars-experiment-results-likert.csv","NeoGricean",1.2,3,2,0.868394996727176,1.51633823474225e-28,0.780995424569349,1.10125031304292e-19,0.00974897533195736
"embeddedscalars-experiment-results-likert.csv","Literal",1.2,3,2,0.935047773665439,2.11598422341985e-41,0.756008363330279,7.08041217013823e-18,0.00785327153227817
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",1.2,3,2,0.917470894683823,5.44189836243779e-37,0.750132410824878,1.75391852822773e-17,0.00961856969793554
"embeddedscalars-experiment-results-likert.csv","Unconstrained",1.2,3,2,0.878454296266871,5.74248831429742e-30,0.795494542934185,7.58902594239923e-21,0.0101836518738518
"embeddedscalars-experiment-results-likert.csv","NeoGricean",1.2,3,3,0.867466450485054,2.02348076555244e-28,0.780822252718966,1.13559835821091e-19,0.00982336297714888
"embeddedscalars-experiment-results-likert.csv","Literal",1.2,3,3,0.935047773665439,2.11598422341985e-41,0.756008363330279,7.08041217013823e-18,0.00785327153227817
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",1.2,3,3,0.917244441006102,6.10885289022919e-37,0.750132410824878,1.75391852822773e-17,0.00964129768585022
"embeddedscalars-experiment-results-likert.csv","Unconstrained",1.2,3,3,0.877763354418408,7.25640973305389e-30,0.795494542934185,7.58902594239923e-21,0.0102393885123905
"embeddedscalars-experiment-results-likert.csv","NeoGricean",1.2,3,4,0.867182246600816,2.20933782138431e-28,0.780822252718966,1.13559835821091e-19,0.00984622153863119
"embeddedscalars-experiment-results-likert.csv","Literal",1.2,3,4,0.935047773665439,2.11598422341985e-41,0.756008363330279,7.08041217013823e-18,0.00785327153227817
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",1.2,3,4,0.917175157686278,6.32837889085879e-37,0.750132410824878,1.75391852822773e-17,0.0096482539843793
"embeddedscalars-experiment-results-likert.csv","Unconstrained",1.2,3,4,0.877553320468557,7.78916993334229e-30,0.795494542934185,7.58902594239923e-21,0.010256387929792
"embeddedscalars-experiment-results-likert.csv","NeoGricean",1.2,3,5,0.867096223291243,2.26879907675911e-28,0.780822252718966,1.13559835821091e-19,0.00985314877604063
"embeddedscalars-experiment-results-likert.csv","Literal",1.2,3,5,0.935047773665439,2.11598422341985e-41,0.756008363330279,7.08041217013823e-18,0.00785327153227817
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",1.2,3,5,0.917154190586752,6.39631693419906e-37,0.750132410824878,1.75391852822773e-17,0.00965035940737899
"embeddedscalars-experiment-results-likert.csv","Unconstrained",1.2,3,5,0.87748988074192,7.95744806340619e-30,0.795494542934185,7.58902594239923e-21,0.0102615277404298
"embeddedscalars-experiment-results-likert.csv","NeoGricean",1.2,3,6,0.867070274889192,2.28703910421083e-28,0.780822252718966,1.13559835821091e-19,0.00985523909846295
"embeddedscalars-experiment-results-likert.csv","Literal",1.2,3,6,0.935047773665439,2.11598422341985e-41,0.756008363330279,7.08041217013823e-18,0.00785327153227817
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",1.2,3,6,0.917147866356838,6.41694809856899e-37,0.750132410824878,1.75391852822773e-17,0.0096509944812532
"embeddedscalars-experiment-results-likert.csv","Unconstrained",1.2,3,6,0.877470756738327,8.00886674678778e-30,0.795494542934185,7.58902594239923e-21,0.0102630776205057
"embeddedscalars-experiment-results-likert.csv","NeoGricean",1.2,3,7,0.867062455862738,2.29256330810066e-28,0.780822252718966,1.13559835821091e-19,0.00985586904429665
"embeddedscalars-experiment-results-likert.csv","Literal",1.2,3,7,0.935047773665439,2.11598422341985e-41,0.756008363330279,7.08041217013823e-18,0.00785327153227817
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",1.2,3,7,0.917145960712123,6.42317748527203e-37,0.750132410824878,1.75391852822773e-17,0.00965118584657284
"embeddedscalars-experiment-results-likert.csv","Unconstrained",1.2,3,7,0.877464995215054,8.02442108409022e-30,0.795494542934185,7.58902594239923e-21,0.010263544598965
"embeddedscalars-experiment-results-likert.csv","NeoGricean",1.2,4,0,0.844550046576282,1.34612719938788e-25,0.775319236140126,2.97099138393041e-19,0.0118257076545749
"embeddedscalars-experiment-results-likert.csv","Literal",1.2,4,0,0.935047773665439,2.11598422341985e-41,0.756008363330279,7.08041217013823e-18,0.00785327153227817
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",1.2,4,0,0.917145139237338,6.42586463357564e-37,0.750132410824878,1.75391852822773e-17,0.0096512683395726
"embeddedscalars-experiment-results-likert.csv","Unconstrained",1.2,4,0,0.850642531835928,2.66115672060492e-26,0.793186405517605,1.17838767479083e-20,0.0127043835294886
"embeddedscalars-experiment-results-likert.csv","NeoGricean",1.2,4,1,0.848986282930064,4.16406941015591e-26,0.775665579840892,2.79874210348556e-19,0.0114389747119184
"embeddedscalars-experiment-results-likert.csv","Literal",1.2,4,1,0.935047773665439,2.11598422341985e-41,0.756008363330279,7.08041217013823e-18,0.00785327153227817
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",1.2,4,1,0.918185466308739,3.77022449511122e-37,0.750132410824878,1.75391852822773e-17,0.00954693862163135
"embeddedscalars-experiment-results-likert.csv","Unconstrained",1.2,4,1,0.853720756939078,1.14119618012322e-26,0.793387113119047,1.13440202517816e-20,0.0124366379273657
"embeddedscalars-experiment-results-likert.csv","NeoGricean",1.2,4,2,0.845944539499711,9.34627332226653e-26,0.775146064289743,3.06092978997063e-19,0.0117024305402313
"embeddedscalars-experiment-results-likert.csv","Literal",1.2,4,2,0.935047773665439,2.11598422341985e-41,0.756008363330279,7.08041217013823e-18,0.00785327153227817
